Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Team,PF
7,Cesar Cuevas,24,3,7,7,0,2,1,0,0,0,0,0,0,2,0.286,0.286,0.429,0.714,3,0,0,0,0,0,QUI,0.887123301
28,Aneury Tavárez*,32,45,212,182,24,52,13,3,4,24,3,1,19,46,0.286,0.373,0.456,0.829,83,5,7,3,1,4,LEO,1.107484945
2,Rodolfo Amador*,31,39,81,77,11,22,7,0,0,15,1,1,2,13,0.286,0.309,0.377,0.685,29,3,1,0,1,0,MVA,0.986601464
19,Peter O'Brien,33,73,302,263,51,75,20,2,16,42,1,0,28,101,0.285,0.368,0.559,0.926,147,5,8,0,3,0,PUE,1.055090728
23,Ariel Sandoval,28,42,167,144,22,41,3,1,3,24,3,3,18,27,0.285,0.361,0.382,0.743,55,6,1,1,3,1,DUR,1.050243683
24,Henry Rodríguez#,34,35,135,123,13,35,5,1,2,11,0,0,12,24,0.285,0.348,0.39,0.738,48,4,0,0,0,0,CHI,1.104916111
9,Jose Felix,36,31,85,81,7,23,3,0,2,4,1,0,0,10,0.284,0.293,0.395,0.688,32,3,1,3,0,0,TAB,0.885204422
28,Drew Ward*,29,25,89,81,11,23,3,0,3,10,0,1,7,37,0.284,0.337,0.432,0.769,35,3,0,0,1,0,DUR,1.050243683
20,Danny Ortiz*,34,89,368,311,62,88,16,0,28,77,0,1,51,76,0.283,0.38,0.605,0.985,188,4,1,0,5,5,PUE,1.055090728
2,Hendrik Clementina,27,12,51,46,6,13,4,1,1,7,0,1,4,20,0.283,0.353,0.478,0.831,22,0,1,0,0,0,ULA,0.968507678
22,Juniel Querecuto#,31,41,183,166,24,47,12,0,6,32,4,1,11,38,0.283,0.332,0.464,0.795,77,6,2,2,2,0,OAX,0.985605712
16,Marco Jaime#,27,63,223,187,36,53,8,2,0,22,3,6,31,29,0.283,0.387,0.348,0.735,65,5,2,1,2,0,AGU,0.963026964
12,Billy Hamilton,33,52,210,191,36,54,10,3,0,13,35,3,14,48,0.283,0.335,0.367,0.702,70,3,1,4,0,0,JAL,1.010882902
9,Jose Lizarraga,26,21,59,53,6,15,6,0,1,9,0,0,0,7,0.283,0.316,0.453,0.769,24,1,3,2,1,0,QRO,1.148678145
19,Luis Sardiñas#,31,62,268,238,40,67,18,0,11,41,8,6,17,35,0.282,0.333,0.496,0.829,118,7,4,4,5,0,JAL,1.010882902
